#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,23471
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,42605.768821098376
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,13.207788334540496
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7368.48384
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,3835
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,26075.61929595828
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,10.847457627118644
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,10995.17952
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,1988
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,5030.181086519115
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,9.305835010060362
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,56295.6288
1,2500000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,54521
1,2500000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,45853.89116120394
1,2500000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,14.761284642614772
1,2500000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,2500000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,2500000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6206.214144
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,113508
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,44049.75860732283
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,20.006519364273885
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,8877.7119744
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,23904
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,125502.00803212852
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,44.32730923694779
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1966.472438131451
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.2884901888E10
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.2582912E7
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,3469.456656648114
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,11672
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,257025.35983550377
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,9.175805346127484
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1662.6752460206899
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.610612736E9
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,5.0331648E7
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,2870.0294888602007
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,9475
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,316622.69129287597
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,3.4722955145118735
