#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,runtime,64630
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,throughput,46418.07210273867
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,14.00897416060653
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,init,1.610612736E9
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,insert,6143.43168
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,runtime,55547
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,throughput,5400.831728086126
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,9.717896556069634
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,init,1.610612736E9
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,insert,46273.7408
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,runtime,62098
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,throughput,483.1073464523817
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,18.915262971432252
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,init,1.610612736E9
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,insert,441031.0656
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,runtime,59399
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,throughput,50.50590077274028
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,12.963181198336674
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,init,1.610612736E9
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,insert,5121245.184
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,runtime,50030
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,throughput,59964.02158704777
