#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,380453
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,26284.455635781556
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,38.80032487587165
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,9630.2186496
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,29690
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,33681.37420006736
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,15.786460087571571
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,9383.23968
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,4831
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,20699.6481059822
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,23.887393914303455
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,19458.6624
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,2063
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,4847.309743092584
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,24.769752787203103
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,74175.2832
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,158231
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,31599.370540538832
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,28.423001813803868
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,9574.1724672
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,72856
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,41177.1165037883
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,24.206654222027012
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,2157.7038671851024
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,2.5769803776E10
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.2582912E7
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,4850.707588673082
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,verify,27745.591216838307
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,49700
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,60362.173038229375
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,1.9074446680080483
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,2101.693065247982
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.2582912E7
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,verify,24729.84481081798
1,100000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,4261.966261532132
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,41533
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,72231.71935569306
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,0.9269737317313943
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1440.911069940096
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,8.05306368E8
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.2582912E7
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,verify,22542.807005417984
1,10000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,3252.694265483448
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,228304
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,21900.623729763825
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,41.45262457074777
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,2588.381238158054
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,2.06158430208E11
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.2582912E7
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,4954.08498397725
1,5000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,verify,26024.9528098085
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,runtime,96303
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,throughput,31151.677517834334
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,total_gc_time_%,20.77090017964134
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,read,2378.0750675998593
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,init,2.5769803776E10
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,cleanup,6291456.0
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,verify,26287.61828273549
1,1000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,update,4130.17777836981
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,runtime,75510
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,throughput,39729.83710766786
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,total_gc_time_%,1.4064362336114422
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,read,1977.033475895965
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,init,3.221225472E9
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,cleanup,1.2582912E7
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,verify,23892.617428860827
1,100000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,update,4066.7833286891446
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,runtime,73340
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,throughput,40905.37223888737
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,total_gc_time_%,0.6626670302699754
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,read,1563.03097612312
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,init,8.05306368E8
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,cleanup,1.2582912E7
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,verify,23412.599894111318
1,10000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,update,3526.099855175958
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,runtime,274027
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,throughput,18246.377181810552
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,total_gc_time_%,36.24898276447212
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,read,2628.833632413606
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,init,2.06158430208E11
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,cleanup,1.2582912E7
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,update,4948.093739393625
1,5000000,10,1,infinispan-jnvm,workloadb_run,true,zipfian,verify,24796.681832278813
1,1000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,runtime,103399
1,1000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,throughput,29013.82024971228
1,1000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,total_gc_time_%,20.85319974080987
1,1000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,read,2746.794304
1,1000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,init,2.5769803776E10
1,1000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,cleanup,6291456.0
1,1000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,verify,26488.684544
1,100000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,runtime,72416
1,100000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,throughput,41427.30888201502
1,100000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,total_gc_time_%,1.466526734423332
1,100000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,read,1869.476224
1,100000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,init,3.221225472E9
1,100000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,cleanup,1.2582912E7
1,100000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,verify,23312.896
1,10000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,runtime,73251
1,10000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,throughput,40955.07228570258
1,10000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,total_gc_time_%,0.6948710597807538
1,10000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,read,1518.488576
1,10000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,init,8.05306368E8
1,10000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,cleanup,1.2582912E7
1,10000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,verify,22997.323776
1,5000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,runtime,275640
1,5000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,throughput,18139.602379915832
1,5000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,total_gc_time_%,35.383471194311426
1,5000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,read,2677.8284544
1,5000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,init,2.06158430208E11
1,5000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,cleanup,1.2582912E7
1,5000000,10,1,infinispan-jnvm,workloadc_run,true,zipfian,verify,23495.6955648
1000000,10000000,10,1,infinispan,workloada_load,true,zipfian,runtime,743289
1000000,10000000,10,1,infinispan,workloada_load,true,zipfian,throughput,13453.717194792334
1000000,10000000,10,1,infinispan,workloada_load,true,zipfian,total_gc_time_%,10.009834667269393
1000000,10000000,10,1,infinispan,workloada_load,true,zipfian,init,8.05306368E8
1000000,10000000,10,1,infinispan,workloada_load,true,zipfian,cleanup,4.02653184E8
1000000,10000000,10,1,infinispan,workloada_load,true,zipfian,insert,58989.7924608
100000,1000000,10,1,infinispan,workloada_load,true,zipfian,runtime,70586
100000,1000000,10,1,infinispan,workloada_load,true,zipfian,throughput,14167.115291984246
100000,1000000,10,1,infinispan,workloada_load,true,zipfian,total_gc_time_%,3.064347037656192
100000,1000000,10,1,infinispan,workloada_load,true,zipfian,init,8.05306368E8
100000,1000000,10,1,infinispan,workloada_load,true,zipfian,cleanup,5.0331648E7
100000,1000000,10,1,infinispan,workloada_load,true,zipfian,insert,56010.571776
10000,100000,10,1,infinispan,workloada_load,true,zipfian,runtime,8136
10000,100000,10,1,infinispan,workloada_load,true,zipfian,throughput,12291.052114060964
10000,100000,10,1,infinispan,workloada_load,true,zipfian,total_gc_time_%,3.748770894788594
10000,100000,10,1,infinispan,workloada_load,true,zipfian,init,8.05306368E8
10000,100000,10,1,infinispan,workloada_load,true,zipfian,cleanup,2.5165824E7
10000,100000,10,1,infinispan,workloada_load,true,zipfian,insert,61179.00288
