#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,runtime,94309
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,throughput,31810.32563170005
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,30.466869545854586
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,insert,10556.650496
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,runtime,63644
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,throughput,4713.720067877569
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,8.134309597134058
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,insert,66381.08672
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,runtime,70714
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,throughput,424.244138360155
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,14.196623016658652
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,insert,766351.7696
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,runtime,68165
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,throughput,44.010856011149414
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,8.68334189099978
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,insert,7134511.104
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,runtime,167303
