#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,285408
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,35037.56026460366
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,26.22281085323467
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7494.486528
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,30431
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,32861.22703821761
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,24.067562682790573
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,8575.263744
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,5070
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,19723.865877712033
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,26.8836291913215
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,19880.57088
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,2021
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,4948.045522018802
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,23.89905987135082
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,33792.0
1,2000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,64969
1,2000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,30783.912327417693
1,2000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,31.979867321337867
1,2000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,2000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,2000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,8931.789312
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,138835
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,36013.97342168762
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,22.276083120250657
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,8861.2122624
1,10000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,256429
1,10000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,38997.14930838556
