#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,runtime,78808
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,throughput,38067.20129936047
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,16.6962744898995
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,3000000,10,1,infinispan-jnvm,workloada_load,true,uniform,insert,8383.762432
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,runtime,63609
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,throughput,4716.313729189265
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,5.876526906569825
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,1.2582912E7
1,300000,100,1,infinispan-jnvm,workloada_load,true,uniform,insert,83442.15552
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,runtime,63652
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,throughput,471.3127631496261
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,3.294476214415886
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,6291456.0
1,30000,1000,1,infinispan-jnvm,workloada_load,true,uniform,insert,805502.976
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,runtime,64714
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,throughput,46.3578205643292
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,total_gc_time_%,4.204654325184658
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,init,8.05306368E8
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,cleanup,1.2582912E7
1,3000,10000,1,infinispan-jnvm,workloada_load,true,uniform,insert,7210008.576
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,runtime,94483
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,throughput,31751.743699924853
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,total_gc_time_%,2.139009133918271
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,read,19309.79928317676
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,init,6.442450944E9
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,cleanup,6291456.0
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,verify,12784.50405410384
1,3000000,10,1,infinispan-jnvm,workloadb_run,true,uniform,update,13022.329404702352
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,runtime,80193
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,throughput,3740.974898058434
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,total_gc_time_%,1.0499669547217338
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,read,163659.22839711903
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,init,1.610612736E9
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,cleanup,6291456.0
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,verify,103450.214037882
1,300000,100,1,infinispan-jnvm,workloadb_run,true,uniform,update,83479.85933007956
1,30000,1000,1,infinispan-jnvm,workloadb_run,true,uniform,runtime,78507
1,30000,1000,1,infinispan-jnvm,workloadb_run,true,uniform,throughput,382.1315296725133
1,30000,1000,1,infinispan-jnvm,workloadb_run,true,uniform,total_gc_time_%,0.8941877794336811
1,30000,1000,1,infinispan-jnvm,workloadb_run,true,uniform,read,1548486.3187144762
1,30000,1000,1,infinispan-jnvm,workloadb_run,true,uniform,init,8.05306368E8
