#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,87424
1,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,34315.51976573939
1,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,25.865894948755493
1,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,8838.529024
1,300000,100,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,62713
1,300000,100,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,4783.697160078453
1,300000,100,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.647744486789023
1,300000,100,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,300000,100,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,300000,100,1,infinispan-jnvm,workloada_load,true,zipfian,insert,69011.21024
1,30000,1000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,63637
1,30000,1000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,471.4238571899995
1,30000,1000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,2.921256501720697
1,30000,1000,1,infinispan-jnvm,workloada_load,true,zipfian,init,8.05306368E8
1,30000,1000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2582912E7
1,30000,1000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,753362.5344
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,67115
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,44699.396558146465
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,3.021679207330701
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,16067.325137925081
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,6.442450944E9
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.2582912E7
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,verify,12894.188593927363
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,10771.994908413453
1,300000,100,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,53946
1,300000,100,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,5561.116672227783
1,300000,100,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,1.9278537797056314
1,300000,100,1,infinispan-jnvm,workloada_run,true,zipfian,read,159587.27074299895
