#cachesize,recordcount,fieldcount,operationcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,runtime,74666
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,throughput,40178.93016901937
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,total_gc_time_%,5.884873972089037
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,init,1.691037696E9
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,load,72389492735
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,cleanup,5.31487744E8
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,insert,6678.0113716666665
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,runtime,72216
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,throughput,41542.040545031574
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,total_gc_time_%,7.663121745873491
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,init,1.703129088E9
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,load,70253019135
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,cleanup,1.3015904E7
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,insert,6573.856751333334
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,runtime,71361
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,throughput,42039.76962206247
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,total_gc_time_%,7.6330208377124755
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,init,1.669435392E9
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,load,69631737855
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,cleanup,8798368.0
1,3000000,10,10000000,1,infinispan-jnvm,workloada_load,true,default,insert,6220.732299
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,runtime,47246
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,throughput,211658.1297887652
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,total_gc_time_%,7.848283452567413
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,read,1513.0374582032111
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,init,1.0304913408E10
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,cleanup,6741232.0
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,update,3097.64690631241
1,3000000,10,10000000,1,infinispan-jnvm,workloada_run,true,default,transaction,36881301503
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,runtime,34052
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,throughput,293668.50698931044
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,total_gc_time_%,10.695407024550688
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,read,1537.1270481428098
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,init,1.0320576512E10
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,cleanup,6864496.0
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,update,3311.5237432207236
1,3000000,10,10000000,1,infinispan-jnvm,workloadb_run,true,default,transaction,23672258559
1,3000000,10,10000000,1,infinispan-jnvm,workloadc_run,true,default,runtime,31691
1,3000000,10,10000000,1,infinispan-jnvm,workloadc_run,true,default,throughput,315547.0007257581
1,3000000,10,10000000,1,infinispan-jnvm,workloadc_run,true,default,total_gc_time_%,11.829857057208672
1,3000000,10,10000000,1,infinispan-jnvm,workloadc_run,true,default,read,1481.1891897
1,3000000,10,10000000,1,infinispan-jnvm,workloadc_run,true,default,init,1.0367696896E10
1,3000000,10,10000000,1,infinispan-jnvm,workloadc_run,true,default,cleanup,4.795712E7
1,3000000,10,10000000,1,infinispan-jnvm,workloadc_run,true,default,transaction,21218852863
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,runtime,47890
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,throughput,208811.86051367718
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,total_gc_time_%,15.147212361662143
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,read,1521.1240650976454
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,init,1.5485927424E10
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,cleanup,7998064.0
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,insert,6692.408305155959
1,3000000,10,10000000,1,infinispan-jnvm,workloadd_run,true,default,transaction,32244236287
1,3000000,10,10000000,1,infinispan-jnvm,workloadf_run,true,default,runtime,49970
1,3000000,10,10000000,1,infinispan-jnvm,workloadf_run,true,default,throughput,200120.07204322593
1,3000000,10,10000000,1,infinispan-jnvm,workloadf_run,true,default,total_gc_time_%,7.29837902741645
1,3000000,10,10000000,1,infinispan-jnvm,workloadf_run,true,default,read,1562.2591487
