#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,default,infinispan-jnvm,workloada_load,true,default,runtime,74666
1,3000000,10,default,infinispan-jnvm,workloada_load,true,default,throughput,40178.93016901937
1,3000000,10,default,infinispan-jnvm,workloada_load,true,default,total_gc_time_%,5.884873972089037
1,3000000,10,default,infinispan-jnvm,workloada_load,true,default,init,1.691037696E9
1,3000000,10,default,infinispan-jnvm,workloada_load,true,default,load,7.2389230592E10
1,3000000,10,default,infinispan-jnvm,workloada_load,true,default,cleanup,5.31487744E8
1,3000000,10,default,infinispan-jnvm,workloada_load,true,default,insert,6678.0113716666665
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,runtime,47246
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,throughput,211658.1297887652
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,total_gc_time_%,7.848283452567413
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,read,1513.0374582032111
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,init,1.0304913408E10
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,cleanup,6741232.0
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,update,3097.64690631241
1,3000000,10,default,infinispan-jnvm,workloada_run,true,default,transaction,3.6881170432E10
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,runtime,34052
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,throughput,293668.50698931044
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,total_gc_time_%,10.695407024550688
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,read,1537.1270481428098
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,init,1.0320576512E10
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,cleanup,6864496.0
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,update,3311.5237432207236
1,3000000,10,default,infinispan-jnvm,workloadb_run,true,default,transaction,2.3672193024E10
