#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,runtime,114758
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,throughput,95853.88382509281
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,total_gc_time_%,11.566078181913243
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,load,50511740927
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,used_mem_mb_min,52
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,used_mem_mb_max,5625
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,main_gc_count,45
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,main_gc_time_ms,9960
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,transaction,62445060095
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,load_gc_time_ms,3293
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,read_ops,4998874
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,read_lat,2232.6860641016356
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,init,1733312511
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,load_gc_count,86
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,cleanup,5803903
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,insert_ops,1000000
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,insert_lat,40222.935598
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,update_ops,5001126
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r1,update_lat,7387.289278054582
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,runtime,119042
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,throughput,92404.36148586213
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,total_gc_time_%,12.364543606458225
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,load,53896282111
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,used_mem_mb_min,50
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,used_mem_mb_max,5430
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,main_gc_count,56
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,main_gc_time_ms,10680
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,transaction,63300960255
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,load_gc_time_ms,4006
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,read_ops,5002088
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,read_lat,2371.4758560825
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,init,1746853887
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,load_gc_count,172
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,cleanup,6268159
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,insert_ops,1000000
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,insert_lat,43362.817589
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,update_ops,4997912
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r2,update_lat,7155.653603744924
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,runtime,114801
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,throughput,95817.9806796108
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,total_gc_time_%,12.141880297209955
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,load,51142983679
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,used_mem_mb_min,46
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,used_mem_mb_max,5895
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,main_gc_count,42
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,main_gc_time_ms,10406
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,transaction,61876994047
1,1000000,10,100,10000000,1,infinispan-autopersist,workloada_run,true,default,false,true,default,default,none,20GB,40,r3,load_gc_time_ms,3516
