#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,runtime,2370491
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,throughput,42185.35316101179
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,total_gc_time_%,49.35424770648781
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,read,3042.76038674
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,init,736075186175
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,read-modify-write,310360.61434934085
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,cleanup,33638318079
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,main_gc_count,268
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,update,305773.0514513304
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,transaction,1602844884991
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r1,log,100GB,40,,main_gc_time_ms,1100079
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,runtime,2361577
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,throughput,42344.58584242648
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,total_gc_time_%,51.92881705741544
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,read,2854.63478979
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,init,651807424511
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,read-modify-write,325613.33939089655
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,cleanup,39378223103
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,main_gc_count,271
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,update,321320.3139595946
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,transaction,1682654101503
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r2,log,100GB,40,,main_gc_time_ms,1175135
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,runtime,2331616
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,throughput,42888.70894692779
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,total_gc_time_%,50.932443421215154
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,read,2970.31079836
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,init,683294064639
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,read-modify-write,314233.6085816788
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,cleanup,37598527487
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,main_gc_count,267
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,update,310267.5452086545
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,transaction,1621434040319
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r3,log,100GB,40,,main_gc_time_ms,1118959
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,runtime,2343523
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,throughput,42670.7994758319
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,total_gc_time_%,49.68626294685395
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,read,2586.02826875
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,init,689191256063
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,read-modify-write,317195.40944703127
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,cleanup,30302535679
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,main_gc_count,266
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,update,313219.4468649691
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,transaction,1632725106687
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r4,log,100GB,40,,main_gc_time_ms,1095015
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,runtime,2312582
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,throughput,43241.70991558353
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,total_gc_time_%,50.0410796244198
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,read,2921.03775834
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,init,697978322943
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,read-modify-write,308032.6011867602
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,cleanup,37321179135
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,main_gc_count,268
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,update,304024.0131375378
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,transaction,1586646482943
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r5,log,100GB,40,,main_gc_time_ms,1091703
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,runtime,2332155
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,throughput,42878.79664945083
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,total_gc_time_%,50.323927869288276
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,read,2901.6601869
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,init,704630489087
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,read-modify-write,309867.4326419976
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,cleanup,32838516735
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,main_gc_count,266
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,update,306068.0525449584
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,transaction,1598893850623
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,default,default,r6,log,100GB,40,,main_gc_time_ms,1101775
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,interleaved,default,r1,log,100GB,40,,runtime,2398396
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,interleaved,default,r1,log,100GB,40,,throughput,41694.53251256256
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,interleaved,default,r1,log,100GB,40,,total_gc_time_%,49.55766270457423
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,interleaved,default,r1,log,100GB,40,,read,2272.02007238
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,interleaved,default,r1,log,100GB,40,,init,715367907327
15000000,15000000,10,zipfian,100000000,false,infinispan,workloadf_run,true,10,true,interleaved,default,r1,log,100GB,40,,read-modify-write,321077.22757845424
