#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
3000000,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,72351
3000000,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,41464.52709706846
3000000,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.711724786112147
3000000,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
3000000,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.610612736E9
3000000,3000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7438.785536
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,21274
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,141017.20409890005
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,17.227601767415624
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1465.1983020400326
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.2884901888E10
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,6291456.0
1,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,3029.121922152504
1200000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,21858
1200000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,137249.5196266813
1200000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,17.99341202305792
1200000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1276.6858627235488
1200000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.2884901888E10
1200000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,8.05306368E8
1200000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,3207.0368611750578
1500000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,20790
1500000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,144300.1443001443
1500000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,18.287638287638288
1500000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1204.0323485089548
1500000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.2884901888E10
1500000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,4.02653184E8
1500000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,3047.07449077285
1800000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,21017
1800000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,142741.59014131417
1800000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,18.00923062282914
1800000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1193.0624718585466
1800000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.2884901888E10
1800000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,4.02653184E8
1800000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,2951.3926271106825
2100000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,20724
2100000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,144759.6988998263
2100000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,18.056359776104998
2100000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1101.4488119055445
2100000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.2884901888E10
2100000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,4.02653184E8
2100000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,2923.7356280995978
2400000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,20617
2400000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,145510.986079449
2400000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,18.926128922733668
2400000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1119.2331095255283
2400000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,1.2884901888E10
2400000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,4.02653184E8
2400000,3000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,2739.1973006125145
