#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
3000000,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,74115
3000000,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,40477.63610605141
3000000,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,9.048100924239359
3000000,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.686351872E9
3000000,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,7.080378368E10
3000000,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.553993728E9
3000000,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,6639.456340666667
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,30427
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,98596.6411410918
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,32.73408485884248
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,1700.4465278384946
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,init,1.5151235072E10
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,cleanup,3.37718272E8
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,update,2559.624969617706
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,transaction,1.3942095872E10
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,26761
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,112103.43410186465
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,27.24113448675311
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,1447.5663802146023
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,init,1.5020949504E10
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,cleanup,6.79909376E8
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,update,2144.1220870054367
1200000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,transaction,1.0815176704E10
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,27186
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,110350.91591260207
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,27.124255131317586
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,1351.0379800203466
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,init,1.5215788032E10
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,cleanup,8.93700096E8
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,update,2188.8995339695866
1500000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,transaction,1.093124096E10
1800000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,27017
1800000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,111041.1962838213
1800000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,27.271717807306512
1800000,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,1409.0351164148544
