#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,272781
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,36659.44475604973
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.03744395687383
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,4.02653184E8
1,10000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7578.3708672
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,23949
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,41755.39688504739
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,5.624451960415884
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7191.038976
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,4626
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,21616.947686986598
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,3.7829658452226544
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,100000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,12323.81952
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,2491
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,4014.4520272982736
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,1.4452027298273784
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,10000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,61586.8416
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,124182
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,40263.48424087227
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,5.689230323235252
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,5000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
