#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,76877
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,39023.37500162597
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,5.9588693627482865
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.658720256E9
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,7.4592813056E10
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,5.42599168E8
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,6671.462734666667
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,runtime,50078
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,throughput,199688.48596189942
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,total_gc_time_%,7.362514477415233
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,read,1770.23111311337
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,init,1.0184196096E10
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,cleanup,7134576.0
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,update,3629.5223233379343
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,transaction,3.9826620416E10
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,runtime,49659
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,throughput,201373.36635856543
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,total_gc_time_%,7.368251475059909
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,read,1814.6745118169172
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,init,1.0354589696E10
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,cleanup,6562992.0
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,update,3568.147141490342
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,transaction,3.9245185024E10
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,runtime,45179
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,throughput,221341.7738329755
