#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,75754
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,39601.86920822663
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.537555772632468
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.682419712E9
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,7.3837314048E10
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.72745216E8
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,7456.837573666667
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,runtime,75849
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,throughput,131840.89440862768
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,total_gc_time_%,36.700549776529684
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,read,2345.0738163927713
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,init,1.508982784E10
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,cleanup,8154704.0
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,update,4283.128078925117
1,3000000,10,exponential,infinispan-jnvm,workloada_run,true,exponential,transaction,6.069747712E10
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,runtime,75645
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,throughput,132196.44391565866
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,total_gc_time_%,36.51265780950492
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,read,2473.813577864337
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,init,1.5310815232E10
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,cleanup,8089264.0
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,update,3950.474026505391
1,3000000,10,hotspot,infinispan-jnvm,workloada_run,true,hotspot,transaction,6.0270968832E10
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,runtime,59721
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,throughput,167445.2872523903
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,total_gc_time_%,30.22889770767402
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,read,1735.9811725654467
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,init,1.4873821184E10
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,cleanup,2.0373952E7
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,update,2770.6958580515866
1,3000000,10,latest,infinispan-jnvm,workloada_run,true,latest,transaction,4.4169822208E10
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,runtime,74699
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,throughput,133870.60067738523
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,total_gc_time_%,38.60560382334435
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,read,2811.8938705614064
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,init,1.5166898176E10
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,cleanup,8666592.0
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,update,3302.604798804519
1,3000000,10,sequential,infinispan-jnvm,workloada_run,true,sequential,transaction,5.9457536E10
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,runtime,74780
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,throughput,133725.5950788981
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,total_gc_time_%,36.76918962289382
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,read,2964.92186265557
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,init,1.4941585408E10
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,cleanup,8258608.0
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,update,3232.0778091074694
1,3000000,10,uniform,infinispan-jnvm,workloada_run,true,uniform,transaction,5.9767652352E10
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,70649
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,141544.82016730597
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,35.98635507933587
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,2169.7724494853824
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,init,1.5122137088E10
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,cleanup,3.45242624E8
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,update,3371.425238873978
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,transaction,5.439291392E10
300000,3000000,10,zipfian,infinispan,workloada_load,true,zipfian,runtime,214160
300000,3000000,10,zipfian,infinispan,workloada_load,true,zipfian,throughput,14008.218154650729
300000,3000000,10,zipfian,infinispan,workloada_load,true,zipfian,total_gc_time_%,3.9451811729548
300000,3000000,10,zipfian,infinispan,workloada_load,true,zipfian,init,6.87835136E8
