#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,72024
1,3000000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,41652.78240586471
1,3000000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.582194823947573
1,3000000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.72169216E9
1,3000000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,6.9849055232E10
1,3000000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,3.98445568E8
1,3000000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,6366.518564333333
1,300000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,159053
1,300000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,1886.1637315863265
1,300000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,2.9354994875921863
1,300000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.670926336E9
1,300000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,1.57276438528E11
1,300000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,5.3023104E7
1,300000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,9913.10873
1,30000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,1393284
1,30000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,21.531862850646387
1,30000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,0.8914191220167604
1,30000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.677914112E9
1,30000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,1.39152326656E12
1,30000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.2526944E7
1,30000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,26810.652166666667
1,3000,100000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,14256607
1,3000,100000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,0.21042875068380576
1,3000,100000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,0.8288788489435108
1,3000,100000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.665937408E9
1,3000,100000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,1.4254895792128E13
1,3000,100000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,7627728.0
1,3000,100000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,316908.091
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,29846
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,100515.98204114454
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,31.27052201300007
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,2384.037401488252
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,init,1.504198656E10
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,cleanup,7282096.0
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,update,3253.8550460000934
1,3000000,100,zipfian,infinispan-jnvm,workloada_run,true,zipfian,transaction,1.4746288128E10
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,13271
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,22605.681561299072
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,7.279029462738301
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,1939.089056165991
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,init,3.20311296E9
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.0734432E7
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,update,3168.892464803754
1,300000,1000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,transaction,1.00081664E10
1,30000,10000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,235395
1,30000,10000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,424.8178593428068
1,30000,10000,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,0.5786019244249028
