#cachesize,recordcount,fieldcount,operationcount,threads,binding,workload,integrity,distribution,operation,value
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,26246
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,38101.04396860474
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.881048540730015
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.631694848E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,24560271359
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6852144.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7019.355779
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,25732
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,38862.1172081455
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.379916057826831
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.718267904E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,23945412607
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6952496.0
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6810.069072
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,25568
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,39111.389236545685
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.33729662077597
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.660186624E9
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,load,23512219647
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,3.15567104E8
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,insert,6704.374412
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,25136
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,39783.57733927435
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.523074474856779
1,1000000,10,30000000,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.68671232E9
