#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,25050
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,39920.159680638724
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,5.421157684630738
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,8453.105664
1,1000000,10,12,infinispan-jnvm,workloada_run,true,zipfian,runtime,24898
1,1000000,10,12,infinispan-jnvm,workloada_run,true,zipfian,throughput,1204916.0575146598
1,1000000,10,12,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,6.036629448148446
1,1000000,10,12,infinispan-jnvm,workloada_run,true,zipfian,read,4009.874337363762
1,1000000,10,12,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,12,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.89267968E8
1,1000000,10,12,infinispan-jnvm,workloada_run,true,zipfian,update,6707.911426210771
1,1000000,10,16,infinispan-jnvm,workloada_run,true,zipfian,runtime,23611
1,1000000,10,16,infinispan-jnvm,workloada_run,true,zipfian,throughput,1270594.2145610098
1,1000000,10,16,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,6.039557833213332
1,1000000,10,16,infinispan-jnvm,workloada_run,true,zipfian,read,5430.477374055707
1,1000000,10,16,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,16,infinispan-jnvm,workloada_run,true,zipfian,cleanup,9.9876864E7
1,1000000,10,16,infinispan-jnvm,workloada_run,true,zipfian,update,8553.681712169186
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,runtime,112378
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,throughput,266956.165797576
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,1.40418943209525
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,read,1398.6677514707312
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.2582912E7
1,1000000,10,1,infinispan-jnvm,workloada_run,true,zipfian,update,2925.0897419706807
1,1000000,10,20,infinispan-jnvm,workloada_run,true,zipfian,runtime,24931
1,1000000,10,20,infinispan-jnvm,workloada_run,true,zipfian,throughput,1203321.1664193172
1,1000000,10,20,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,6.4457903814528095
1,1000000,10,20,infinispan-jnvm,workloada_run,true,zipfian,read,8277.941233819465
1,1000000,10,20,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,20,infinispan-jnvm,workloada_run,true,zipfian,cleanup,2.057306112E8
1,1000000,10,20,infinispan-jnvm,workloada_run,true,zipfian,update,12222.808349504463
1,1000000,10,24,infinispan-jnvm,workloada_run,true,zipfian,runtime,24621
1,1000000,10,24,infinispan-jnvm,workloada_run,true,zipfian,throughput,1218472.0360667722
1,1000000,10,24,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,5.816173185492059
1,1000000,10,24,infinispan-jnvm,workloada_run,true,zipfian,read,9563.492045700861
1,1000000,10,24,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,24,infinispan-jnvm,workloada_run,true,zipfian,cleanup,3.82468096E8
1,1000000,10,24,infinispan-jnvm,workloada_run,true,zipfian,update,13486.88442655766
1,1000000,10,28,infinispan-jnvm,workloada_run,true,zipfian,runtime,29320
1,1000000,10,28,infinispan-jnvm,workloada_run,true,zipfian,throughput,1023192.3601637108
1,1000000,10,28,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,4.7919508867667115
1,1000000,10,28,infinispan-jnvm,workloada_run,true,zipfian,read,16037.45717757974
1,1000000,10,28,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,28,infinispan-jnvm,workloada_run,true,zipfian,cleanup,1.8469917257142857E8
1,1000000,10,28,infinispan-jnvm,workloada_run,true,zipfian,update,19088.399946161073
1,1000000,10,32,infinispan-jnvm,workloada_run,true,zipfian,runtime,32546
1,1000000,10,32,infinispan-jnvm,workloada_run,true,zipfian,throughput,921772.2608000983
1,1000000,10,32,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,4.759417439931175
1,1000000,10,32,infinispan-jnvm,workloada_run,true,zipfian,read,22592.540201027135
1,1000000,10,32,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,32,infinispan-jnvm,workloada_run,true,zipfian,cleanup,9.3192192E7
1,1000000,10,32,infinispan-jnvm,workloada_run,true,zipfian,update,27871.799515674706
1,1000000,10,36,infinispan-jnvm,workloada_run,true,zipfian,runtime,36957
1,1000000,10,36,infinispan-jnvm,workloada_run,true,zipfian,throughput,811754.2008279893
1,1000000,10,36,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,3.79089211786671
1,1000000,10,36,infinispan-jnvm,workloada_run,true,zipfian,read,28401.18307984669
1,1000000,10,36,infinispan-jnvm,workloada_run,true,zipfian,init,3.221225472E9
1,1000000,10,36,infinispan-jnvm,workloada_run,true,zipfian,cleanup,9.3323264E7
1,1000000,10,36,infinispan-jnvm,workloada_run,true,zipfian,update,33199.194740514555
