#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,runtime,24058
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,throughput,41566.214980463876
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,5.686258209327458
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,init,1.610612736E9
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6291456.0
1,1000000,10,1,infinispan-jnvm,workloada_load,true,zipfian,insert,7109.203968
1,1000000,10,12,infinispan-jnvm,insertw_run,true,zipfian,runtime,136616
1,1000000,10,12,infinispan-jnvm,insertw_run,true,zipfian,throughput,73197.86847806991
1,1000000,10,12,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,6.931838144873222
1,1000000,10,12,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,12,infinispan-jnvm,insertw_run,true,zipfian,cleanup,5.41589504E8
1,1000000,10,12,infinispan-jnvm,insertw_run,true,zipfian,insert,65837.1314688
1,1000000,10,16,infinispan-jnvm,insertw_run,true,zipfian,runtime,148401
1,1000000,10,16,infinispan-jnvm,insertw_run,true,zipfian,throughput,67384.99066717879
1,1000000,10,16,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,7.40965357376298
1,1000000,10,16,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,16,infinispan-jnvm,insertw_run,true,zipfian,cleanup,1.711276032E9
1,1000000,10,16,infinispan-jnvm,insertw_run,true,zipfian,insert,87886.1730816
1,1000000,10,1,infinispan-jnvm,insertw_run,true,zipfian,runtime,287963
1,1000000,10,1,infinispan-jnvm,insertw_run,true,zipfian,throughput,34726.683636439404
1,1000000,10,1,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,5.8611696641582425
1,1000000,10,1,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,1,infinispan-jnvm,insertw_run,true,zipfian,cleanup,6291456.0
1,1000000,10,1,infinispan-jnvm,insertw_run,true,zipfian,insert,9120.6890496
1,1000000,10,20,infinispan-jnvm,insertw_run,true,zipfian,runtime,166136
1,1000000,10,20,infinispan-jnvm,insertw_run,true,zipfian,throughput,60191.65021428227
1,1000000,10,20,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,7.2831896759281545
1,1000000,10,20,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,20,infinispan-jnvm,insertw_run,true,zipfian,cleanup,1.2737052672E9
1,1000000,10,20,infinispan-jnvm,insertw_run,true,zipfian,insert,115507.759104
1,1000000,10,24,infinispan-jnvm,insertw_run,true,zipfian,runtime,163803
1,1000000,10,24,infinispan-jnvm,insertw_run,true,zipfian,throughput,61048.94293755304
1,1000000,10,24,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,7.642717166352265
1,1000000,10,24,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,24,infinispan-jnvm,insertw_run,true,zipfian,cleanup,1.1206656E9
1,1000000,10,24,infinispan-jnvm,insertw_run,true,zipfian,insert,147754.4742912
1,1000000,10,28,infinispan-jnvm,insertw_run,true,zipfian,runtime,177610
1,1000000,10,28,infinispan-jnvm,insertw_run,true,zipfian,throughput,56303.136084679914
1,1000000,10,28,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,7.061539327740555
1,1000000,10,28,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,28,infinispan-jnvm,insertw_run,true,zipfian,cleanup,2.441309622857143E9
1,1000000,10,28,infinispan-jnvm,insertw_run,true,zipfian,insert,176052.6188544
1,1000000,10,32,infinispan-jnvm,insertw_run,true,zipfian,runtime,162614
1,1000000,10,32,infinispan-jnvm,insertw_run,true,zipfian,throughput,61495.32020613231
1,1000000,10,32,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,6.81798615125389
1,1000000,10,32,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,32,infinispan-jnvm,insertw_run,true,zipfian,cleanup,1.89136896E9
1,1000000,10,32,infinispan-jnvm,insertw_run,true,zipfian,insert,182527.8554112
1,1000000,10,36,infinispan-jnvm,insertw_run,true,zipfian,runtime,183862
1,1000000,10,36,infinispan-jnvm,insertw_run,true,zipfian,throughput,54388.61755011911
1,1000000,10,36,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,6.32865953813186
1,1000000,10,36,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,36,infinispan-jnvm,insertw_run,true,zipfian,cleanup,1.0223616E9
1,1000000,10,36,infinispan-jnvm,insertw_run,true,zipfian,insert,259264.0346112
1,1000000,10,40,infinispan-jnvm,insertw_run,true,zipfian,runtime,175942
1,1000000,10,40,infinispan-jnvm,insertw_run,true,zipfian,throughput,56836.91216423594
1,1000000,10,40,infinispan-jnvm,insertw_run,true,zipfian,total_gc_time_%,7.1017721749212805
1,1000000,10,40,infinispan-jnvm,insertw_run,true,zipfian,init,1.610612736E9
1,1000000,10,40,infinispan-jnvm,insertw_run,true,zipfian,cleanup,5.777129472E8
1,1000000,10,40,infinispan-jnvm,insertw_run,true,zipfian,insert,279489.2203008
1,1000000,10,4,infinispan-jnvm,insertw_run,true,zipfian,runtime,159841
