#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,runtime,52918
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,throughput,699194.9809138668
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,total_gc_time_%,30.781586605691825
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,load,14683865087
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,used_mem_mb_min,66
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,used_mem_mb_max,5945
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,main_gc_count,90
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,main_gc_time_ms,14419
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,transaction,36457676799
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,load_gc_time_ms,1852
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,read_ops,18006779
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,read_lat,5161.598018946087
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,init,1644494847
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,load_gc_count,24
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,cleanup,667357183
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,insert_ops,1000000
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,insert_lat,68079.32184
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,update_ops,17993221
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r1,update_lat,7326.942841417887
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,runtime,53276
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,throughput,694496.5838276147
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,total_gc_time_%,31.62962684886253
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,load,14827519999
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,used_mem_mb_min,68
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,used_mem_mb_max,5800
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,main_gc_count,89
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,main_gc_time_ms,14904
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,transaction,36686528511
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,load_gc_time_ms,1927
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,read_ops,18003466
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,read_lat,5116.9158171543195
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,init,1661476863
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,load_gc_count,25
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,cleanup,698134527
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,insert_ops,1000000
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,insert_lat,70381.62079
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,update_ops,17996534
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r2,update_lat,7340.807729477243
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,runtime,53218
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,throughput,695253.4856627457
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,total_gc_time_%,32.05682287947687
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,load,14658568191
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,used_mem_mb_min,66
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,used_mem_mb_max,5540
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,main_gc_count,90
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,main_gc_time_ms,15148
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,transaction,36771725311
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,load_gc_time_ms,1894
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,read_ops,18004662
1,1000000,10,100,36000000,12,infinispan-jnvm,workloada_run,true,zipfian,false,,default,default,none,20GB,40,r3,read_lat,4821.822926306531
