#cachesize,recordcount,fieldcount,threads,binding,workload,integrity,distribution,operation,value
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,71310
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,42069.835927639884
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.853036039826112
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.65599232E9
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,6.9476286464E10
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.0957792E7
1,3000000,10,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,6450.632862666666
1,300000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,63488
1,300000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,4725.302419354839
1,300000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,7.143082157258064
1,300000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.694216192E9
1,300000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,6.1735305216E10
1,300000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,7454896.0
1,300000,100,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,46267.82464
1,30000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,65155
1,30000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,460.44048806691734
1,30000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.525976517535109
1,30000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.63846144E9
1,30000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,6.3433211904E10
1,30000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,6503664.0
1,30000,1000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,516728.75516666664
1,3000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,runtime,68741
1,3000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,throughput,43.642076780960416
1,3000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,total_gc_time_%,6.603046216959312
1,3000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,init,1.607356416E9
1,3000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,load,6.687358976E10
1,3000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,cleanup,1.819264E8
1,3000,10000,zipfian,infinispan-jnvm,workloada_load,true,zipfian,insert,5850133.36
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,runtime,30739
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,throughput,97595.88795992063
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,total_gc_time_%,33.95360942125639
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,read,1711.9717381158612
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,init,1.5124496384E10
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,cleanup,3.77746432E8
1,3000000,10,zipfian,infinispan-jnvm,workloada_run,true,zipfian,update,3643.8551860275556
