#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,runtime,601526
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,throughput,6649.7541253412155
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,total_gc_time_%,4.707693433035313
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,read-modify-write,14086.058131306967
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,load,494904803327
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,used_mem_mb_min,56
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,used_mem_mb_max,31399
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,main_gc_count,33
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,main_gc_time_ms,5676
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,transaction,105259728895
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,load_gc_time_ms,22516
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,read,3537.182287
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,init,1126334463
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,load_gc_count,731
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,cleanup,27298
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,insert,5314.810559
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r10,update,10222.706984573502
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,runtime,561622
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,throughput,7122.228117844386
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,total_gc_time_%,5.558364878868705
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,read-modify-write,3863.398251421362
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,load,478593155071
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,used_mem_mb_min,54
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,used_mem_mb_max,25564
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,main_gc_count,137
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,main_gc_time_ms,6076
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,transaction,81543561215
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,load_gc_time_ms,25060
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,read,765.8518226666666
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,init,1367056383
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,load_gc_count,1076
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,cleanup,46179
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,insert,4227.239001
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r11,update,2408.222319950814
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r12,runtime,560823
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r12,throughput,7132.3750987388175
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r12,total_gc_time_%,5.52455944210562
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r12,read-modify-write,3591.957605052187
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r12,load,478874173439
1000000,1000000,10,1000,3000000,1,infinispan,workloadf_run,true,zipfian,false,true,default,default,none,100GB,15,r12,used_mem_mb_min,55
