#cachesize,recordcount,fieldcount,fieldlength,operationcount,threads,binding,workload,integrity,distribution,readonly,preload,memory,oop,filesystem,heapsize,hinitoccper,n_run,operation,value
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,runtime,16661
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,throughput,240081.62775343616
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,total_gc_time_%,0.8402856971370266
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,load,13217497087
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,used_mem_mb_min,46
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,used_mem_mb_max,1384
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,main_gc_count,4
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,main_gc_time_ms,19
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,transaction,3354542079
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,load_gc_time_ms,121
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,read_ops,1500461
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,read_lat,19.43412457904604
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,init,5266
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,load_gc_count,20
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,cleanup,2012
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,insert_ops,1000000
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,insert_lat,19.779368
1,1000000,10,100,3000000,1,jnvm-blackhole-offheap,workloada_run,true,zipfian,false,true,default,default,none,20GB,40,r1,update_ops,1499539
